Time	x coordinate for point mass 1	y coordinate for point mass 1	estimated x velocity for point mass 1	x velocity uncertainty for point mass 1	estimated y velocity for point mass 1	y velocity uncertainty for point mass 1	total velocity of point mass 1	total velocity of point mass 1 uncertainty	estimated kinetic energy of point mass 1	kinetic energy uncertainty of point mass 1	estimated potential energy of point mass 1	potential energy uncertainty of point mass 1	estimated Hamiltonian (total energy) of point mass 1	Uncertainty of the estimated Hamiltonian (total energy) of point mass 1	x coordinate for point mass 2	y coordinate for point mass 2	estimated x velocity for point mass 2	x velocity uncertainty for point mass 2	estimated y velocity for point mass 2	y velocity uncertainty for point mass 2	total velocity of point mass 2	total velocity of point mass 2 uncertainty	estimated kinetic energy of point mass 2	kinetic energy uncertainty of point mass 2	estimated potential energy of point mass 2	potential energy uncertainty of point mass 2	estimated Hamiltonian (total energy) of point mass 2	Uncertainty of the estimated Hamiltonian (total energy) of point mass 2	The hamiltonian (total energy) of the entire system	Uncertainty of The hamiltonian (total energy) of the entire system
-0.06663333333	-0.03546734546	-0.1298939154	-0.4248506442	0.2366732839	0.177262434	0.1379955593	0.4603477385	0.2247940866	0.001059600202	0.001034834495	0.0245354069	4.91E-05	0.0255950071	0.00103599709	-0.08418327585	-0.240451239	1.445644018	0.7277020291	-0.367601454	0.2115726497	1.49164924	0.7071830814	0.01112508728	0.01054869108	0.01368973345	4.91E-05	0.02481482074	0.01054880517	0.05040982784	0.0105997828
-0.05001111111	-0.04223527551	-0.1267940918	-0.300917952	0.1835951046	0.150464268	0.1298641042	0.3364388648	0.1741794405	0.0005659555489	0.0005860073331	0.02483949959	4.91E-05	0.02540545514	0.0005880579136	-0.05845426776	-0.241682799	1.473372829	0.7413662397	0.088092966	0.1147806733	1.476004019	0.7400763539	0.01089293931	0.01092355674	0.01356891742	4.91E-05	0.02446185673	0.01092366692	0.04986731188	0.01093970411
-0.03332222222	-0.04549794386	-0.1248784398	-0.5242666641	0.2818071541	0.251649999	0.1641813886	0.5815352587	0.2638024529	0.001690916285	0.001534104279	0.02502742506	4.91E-05	0.02671834134	0.001534888797	-0.03507084823	-0.2375148068	1.378131167	0.6944569709	0.345549786	0.2021455712	1.420792092	0.6753968421	0.01009325084	0.009595984935	0.01397779745	4.91E-05	0.02407104829	0.009596110356	0.05078938964	0.009718334868
-0.01668888889	-0.05971083098	-0.1184057585	-0.3422505297	0.2007487334	0.133156782	0.1250891347	0.3672412745	0.1925070858	0.0006743307684	0.0007069654761	0.02566239509	4.91E-05	0.02633672586	0.0007086662259	-0.01251656219	-0.2301644728	1.313699394	0.662764525	0.458358753	0.2517018901	1.39136582	0.6312385259	0.009679494224	0.008782837104	0.01469886522	4.91E-05	0.02437835944	0.008782974141	0.0507150853	0.008811790828
0	-0.05690629485	-0.1204398804	0.2736228753	0.17267869	-0.15058413	0.129898555	0.3123220423	0.1637341293	0.0004877252905	0.0005113777773	0.02546284773	4.91E-05	0.02595057302	0.0005137264025	0.008719131577	-0.2222361817	1.232832816	0.6230453547	0.46643079	0.2553530406	1.318117762	0.589697069	0.00868717217	0.00777290182	0.01547663058	4.91E-05	0.02416380275	0.007773056662	0.05011437577	0.007790323461
0.01665555556	-0.05059006847	-0.1234252295	0.4969940025	0.2692726157	-0.110406576	0.119469965	0.5091096646	0.2641382481	0.001295963253	0.001344753351	0.02516998499	4.91E-05	0.02646594824	0.001345648254	0.02857786501	-0.2146167798	1.146700424	0.5808234512	0.419684019	0.2343759888	1.22108826	0.5513564062	0.00745528269	0.006732548356	0.0162240939	4.91E-05	0.02367937659	0.006732727124	0.05014532483	0.006866236137
0.0333	-0.0403398281	-0.1241200996	0.7230419382	0.3753717131	-0.027076866	0.1069197166	0.7235487551	0.3751301194	0.002617614005	0.002714249312	0.02510181823	4.91E-05	0.02771943223	0.002714692825	0.04694247904	-0.2082467144	1.078050467	0.5472462565	0.323566737	0.1929116021	1.125561301	0.5270721457	0.006334441208	0.005932520107	0.01684899732	4.91E-05	0.02318343853	0.005932722981	0.05090287076	0.00652468958
0.04996666667	-0.02648867053	-0.1243277917	0.839718603	0.4314213705	-0.057569739	0.1098724416	0.8416897333	0.4304766383	0.003542208035	0.003623277673	0.02508144363	4.91E-05	0.02862365167	0.003623609942	0.06451288056	-0.2038312219	1.038683252	0.5280268117	0.202833222	0.1464691466	1.058302515	0.5189977801	0.005600021064	0.005492566566	0.01728215713	4.91E-05	0.0228821782	0.005492785688	0.05150582987	0.006580733903
0.06663333333	-0.012349208	-0.1260390909	0.7361539788	0.3816398727	-0.179374155	0.1386706544	0.7576923966	0.3722416738	0.00287048884	0.002820446863	0.02491356518	4.91E-05	0.02778405402	0.00282087368	0.08156525409	-0.201485607	0.8820320871	0.4518764227	0.001863456	0.1060700768	0.8820340555	0.4518754698	0.003889920376	0.003985695537	0.01751226195	4.91E-05	0.02140218233	0.003985997482	0.04918623635	0.004883678841
0.0833	-0.001950204571	-0.1303069302	0.7778214018	0.4016141694	-0.089315637	0.1150147734	0.7829325744	0.3992080111	0.003064917081	0.003125529563	0.02449489015	4.91E-05	0.02755980723	0.003125914718	0.09391395013	-0.2037691067	0.7769220213	0.4011821975	-0.128771532	0.1239452661	0.7875213868	0.3963011933	0.003100949673	0.003120956657	0.01728825063	4.91E-05	0.02038920031	0.003121342239	0.04794900753	0.004418023858
0.09995555556	0.01357817206	-0.1290162788	0.9613968525	0.4903836318	0.142745772	0.1276848372	0.9719363474	0.4854283608	0.004723301317	0.004718054685	0.02462150305	4.91E-05	0.02934480437	0.004718309868	0.1074626548	-0.2057779914	0.6780355281	0.3539285506	-0.181638777	0.1393998135	0.7019436036	0.3437715501	0.002463624113	0.00241308241	0.01709117904	4.91E-05	0.01955480316	0.002413581066	0.04889960752	0.005300248697
0.1166111111	0.03009635718	-0.1255487378	1.007248229	0.5127008962	0.283480293	0.1765782218	1.046379506	0.4958405504	0.005474550358	0.005188373912	0.02496166882	4.91E-05	0.03043621918	0.005188605978	0.1165151344	-0.2098237326	0.473705571	0.2586529444	-0.194627496	0.143681444	0.5121297006	0.2453988314	0.001311384151	0.001256760302	0.01669429183	4.91E-05	0.01800567598	0.001257717443	0.04844189516	0.005339316408
0.1332888889	0.04715311303	-0.1195669357	1.05120515	0.5341370821	0.464338962	0.2544057959	1.149192299	0.49928959	0.006603214696	0.005737797526	0.02554848361	4.91E-05	0.0321516983	0.005738007392	0.1232528405	-0.2122655746	0.283501944	0.1765868422	-0.081128976	0.1135003973	0.294881778	0.1726200635	0.000434776315	0.000509025113	0.01645474713	4.91E-05	0.01688952345	0.0005113835946	0.04904122175	0.005761167983
0.1499555556	0.06513652885	-0.1100707724	0.9520181472	0.4858246457	0.556465185	0.2967242948	1.102720298	0.445356342	0.006079960274	0.004911034789	0.02648005723	4.91E-05	0.0325600175	0.004911279992	0.1259651992	-0.2125280318	0.190137489	0.1421826511	0.077300022	0.1128357065	0.2052499893	0.1383993802	0.0002106377906	0.0002840647134	0.01642900008	4.91E-05	0.01663963787	0.0002882695891	0.04919965537	0.004920222051
0.1666222222	0.07888705127	-0.1010180962	0.751902933	0.3891799719	0.5775445644	0.3065512188	0.948111673	0.360734513	0.004494578723	0.003420166033	0.02736812476	4.91E-05	0.03186270349	0.003420518102	0.1295907568	-0.2096889072	-0.076354152	0.1126758738	0.186349218	0.1409332984	0.2013851722	0.1372298329	0.0002027799379	0.0002763605355	0.0167075182	4.91E-05	0.01691029814	0.0002806808916	0.04877300163	0.003432716177
0.1832666667	0.09019995995	-0.09081928692	0.6070934523	0.320398134	0.5788436826	0.3071583019	0.8388220721	0.3141630159	0.003518112344	0.002635268726	0.02836862795	4.91E-05	0.0318867403	0.002635725644	0.1234200608	-0.2063163912	-0.062340117	0.1105161324	0.211231377	0.1493841181	0.2202384726	0.1466500728	0.0002425249241	0.0003229798806	0.01703836202	4.91E-05	0.01728088695	0.0003266843311	0.04916762724	0.002656800121
0.1999333333	0.09912349968	-0.08172330678	0.4161347895	0.2328011965	0.4499068791	0.24789116	0.6128493803	0.2410511245	0.001877921814	0.001477280326	0.0292609436	4.91E-05	0.03113886542	0.00147809522	0.1275127529	-0.2026478613	-0.055731927	0.1096371846	0.219396315	0.1522747806	0.2263642876	0.1500356096	0.0002562039536	0.000339627039	0.01739824481	4.91E-05	0.01765444876	0.0003431518719	0.04879331418	0.001518990862
0.2166	0.1040711196	-0.07582239095	0.2193065316	0.1522427022	0.2762087283	0.173696684	0.3526848684	0.1657309268	0.000621933082	0.0005845079021	0.02983982345	4.91E-05	0.03046175653	0.0005865643263	0.1215623299	-0.1990031807	-0.472152813	0.2579478724	0.13459791	0.1254710668	0.4909632127	0.2504385948	0.001205224381	0.001229561372	0.01775578797	4.91E-05	0.01896101235	0.001230539705	0.04942276888	0.001364954347
0.2332666667	0.1064337174	-0.07251634917	0.050605614	0.1090188994	0.0643384149	0.1107997996	0.08185572552	0.1101225265	3.35E-05	9.01E-05	0.03016414615	4.91E-05	3.02E-02	0.0001026337617	0.1117743258	-0.1981612643	-0.463086549	0.2538390188	-0.045895428	0.10850066	0.465355286	0.2528280377	0.001082777711	0.001176548639	0.01783837997	4.91E-05	0.01892115768	0.001177571015	0.04911880563	0.001184070034
0.2665777778	0.1057579734	-0.07367777712	-0.108777564	0.1190987902	-0.1523029788	0.1303945924	0.1871597066	0.1266916131	0.0001751437789	0.0002371156516	0.03005021006	4.91E-05	0.03022535384	0.0002421404935	0.1061261116	-0.2005330283	-0.332098596	0.1964745062	-0.162816171	0.1335079182	0.3698629246	0.1859458375	0.000683992915	0.0006877447137	0.01760570992	4.91E-05	0.01828970284	0.0006894922254	0.04851505668	0.0007340613847
0.2832333333	0.1028077986	-0.07759311513	-0.2371634577	0.1587430578	-0.2836033557	0.1766272228	0.3696990249	0.169496043	0.0006833868452	0.0006266252192	0.02966611541	4.91E-05	0.03034950225	0.0006285438484	0.1007043726	-0.20358847	-0.2479634241	0.1627843332	-0.216627369	0.1512884236	0.3292617146	0.157911011	0.0005420663835	0.000519940503	0.01730597109	4.91E-05	0.01784803748	0.0005222497724	0.04819753973	0.0008201382247
0.2999	0.09785252481	-0.08313122231	-0.3855252003	0.2193416403	-0.4074952851	0.2289796088	0.5609653175	0.224479006	0.001573410437	0.001259249371	0.02912282709	4.91E-05	0.03069623753	0.001260205233	0.09786066413	-0.2077539406	-0.1829403249	0.1398212794	-0.319591866	0.1912612633	0.368247367	0.1799380542	0.0006780306164	0.0006626171475	0.01689733843	4.91E-05	0.01757536904	0.000664430702	0.04827160657	0.001426323908
